component,priority,severity,isDependent,numberOfDepends,doesBlock,numberOfBlocked,reporterIsAssignee,hasCC,numberOfCC,hasAttachment,numberOfAttachment,titleReadability,descReadability,positiveCount,negativeCount,neutralCount,classlabel
UI,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,2,TRUE,1,4.02382,13.58369,1,0,0,1
UI,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,1,FALSE,0,15.37434,15.202657,0,1,0,1
UI,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,1,FALSE,0,27.974773,9.72974,0,1,0,1
UI,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,1,TRUE,1,9.99222,18.554065,0,0,1,1
UI,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,2,TRUE,1,12.982773,15.905343,0,1,0,1
UI,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,3,TRUE,3,10.761059,14.626828,0,1,0,1
UI,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,2,FALSE,0,3.319987,3.193638,0,1,0,1
UI,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,2,FALSE,0,62.408983,67.166071,0,0,1,1
UI,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,1,FALSE,0,38.555283,53.373748,0,0,1,1
UI,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,2,TRUE,1,15.59279,15.908621,1,0,0,1
UI,P3,normal,FALSE,0,TRUE,1,FALSE,TRUE,5,FALSE,0,3.364184,42.296995,0,0,1,1
UI,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,1,FALSE,0,3.54142,73.675582,0,0,1,1
UI,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,3,FALSE,0,15.827483,17.06942,1,0,0,1
UI,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,1,FALSE,0,19.623962,15.382717,0,1,0,1
UI,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,2,FALSE,0,13.675107,13.329378,0,0,1,1
UI,P3,normal,TRUE,1,FALSE,0,FALSE,TRUE,4,FALSE,0,12.723973,14.314459,0,0,1,1
UI,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,3,FALSE,0,38.012896,27.248721,0,1,2,1
UI,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,3,FALSE,0,21.877683,86.166066,0,1,0,1
UI,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,1,FALSE,0,43.638483,53.635743,0,0,1,1
UI,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,3,FALSE,0,15.095601,17.060705,0,1,1,1
UI,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,2,FALSE,0,15.772483,14.274229,0,0,1,1
UI,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,1,FALSE,0,28.044718,-2.89218,0,0,1,1
UI,P3,normal,FALSE,0,FALSE,0,TRUE,TRUE,3,FALSE,0,17.483325,16.535403,0,0,1,1
UI,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,4,FALSE,0,11.582523,37.090573,0,0,1,1
UI,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,2,FALSE,0,10.804483,31.774074,0,0,1,1
UI,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,2,TRUE,2,17.417468,21.510301,0,0,1,1
UI,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,1,TRUE,1,10.77244,20.805541,1,0,0,1
UI,P3,minor,FALSE,0,FALSE,0,FALSE,TRUE,1,FALSE,0,9.192373,17.492571,0,0,1,1
UI,P3,minor,FALSE,0,FALSE,0,FALSE,TRUE,2,FALSE,0,5.519534,14.443761,0,0,1,1
UI,P3,minor,FALSE,0,FALSE,0,FALSE,TRUE,1,FALSE,0,6.340365,44.18525,0,1,0,1
UI,P3,minor,FALSE,0,FALSE,0,FALSE,TRUE,2,TRUE,1,18.49965,14.360138,0,0,1,1
UI,P3,minor,FALSE,0,FALSE,0,FALSE,TRUE,3,FALSE,0,11.307083,14.135396,1,0,0,1
UI,P3,trivial,FALSE,0,FALSE,0,FALSE,TRUE,1,FALSE,0,4.279153,10.651797,1,0,0,1
UI,P3,trivial,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,16.915286,13.627185,0,0,1,1
UI,P3,trivial,TRUE,1,FALSE,0,FALSE,TRUE,4,FALSE,0,24.542305,11.048348,0,0,1,1
UI,P3,enhancement,FALSE,0,FALSE,0,FALSE,TRUE,1,FALSE,0,21.728946,15.293444,0,1,0,1
UI,P3,enhancement,FALSE,0,FALSE,0,FALSE,TRUE,1,FALSE,0,13.327662,12.358281,1,0,0,1
UI,P3,enhancement,TRUE,1,FALSE,0,TRUE,TRUE,4,FALSE,0,13.255816,11.208911,0,1,0,1
UI,P3,enhancement,FALSE,0,FALSE,0,FALSE,TRUE,3,FALSE,0,12.844252,20.273244,0,0,1,1
UI,P3,enhancement,FALSE,0,FALSE,0,FALSE,TRUE,2,FALSE,0,6.78544,11.252237,0,0,1,1
UI,P3,enhancement,FALSE,0,FALSE,0,FALSE,TRUE,1,FALSE,0,12.079149,12.734762,1,0,0,1
UI,P3,enhancement,FALSE,0,FALSE,0,FALSE,TRUE,1,FALSE,0,10.774944,20.532463,0,1,0,1
UI,P3,enhancement,FALSE,0,FALSE,0,FALSE,TRUE,1,FALSE,0,11.265573,13.140603,0,1,0,1
Core,P3,blocker,FALSE,0,FALSE,0,FALSE,TRUE,1,TRUE,1,8.965107,11.583354,0,0,1,1
Core,P3,blocker,FALSE,0,FALSE,0,FALSE,TRUE,1,FALSE,0,6.999666,12.140473,0,0,1,1
Core,P3,critical,FALSE,0,FALSE,0,FALSE,TRUE,1,TRUE,1,10.439607,15.596676,0,0,1,1
Core,P3,critical,FALSE,0,FALSE,0,FALSE,TRUE,4,TRUE,1,9.716996,13.85502,0,0,1,1
Core,P3,critical,FALSE,0,FALSE,0,FALSE,TRUE,2,FALSE,0,13.872883,104.170928,0,1,0,1
Core,P3,critical,FALSE,0,FALSE,0,FALSE,TRUE,1,TRUE,1,13.049773,14.57062,0,0,1,1
Core,P3,critical,FALSE,0,FALSE,0,FALSE,TRUE,1,TRUE,2,9.163773,8.147378,0,0,1,1
Core,P3,critical,FALSE,0,FALSE,0,FALSE,TRUE,1,FALSE,0,17.729468,28.054489,0,0,1,1
Core,P3,major,FALSE,0,FALSE,0,FALSE,TRUE,1,FALSE,0,1.808153,15.41338,0,0,1,1
Core,P3,major,FALSE,0,FALSE,0,FALSE,TRUE,2,TRUE,1,30.585483,96.790861,1,0,0,1
Core,P3,major,FALSE,0,FALSE,0,FALSE,TRUE,3,FALSE,0,9.474373,9.152228,1,0,0,1
Core,P3,major,FALSE,0,FALSE,0,FALSE,TRUE,2,FALSE,0,5.261487,63.352722,0,0,1,1
Core,P3,major,FALSE,0,FALSE,0,FALSE,TRUE,2,FALSE,0,12.456483,34.382619,0,1,0,1
Core,P3,major,FALSE,0,FALSE,0,FALSE,TRUE,2,TRUE,2,2.03432,10.874872,0,0,1,1
Core,P3,major,FALSE,0,FALSE,0,FALSE,TRUE,5,TRUE,5,5.70782,17.925933,0,0,1,1
Core,P3,major,FALSE,0,FALSE,0,FALSE,TRUE,2,FALSE,0,15.751054,100.868057,0,0,1,1
Core,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,2,FALSE,0,4.948963,16.348146,0,1,0,1
Core,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,2,FALSE,0,8.627173,86.136603,0,0,1,1
Core,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,1,FALSE,0,41.944083,38.299902,0,0,1,1
Core,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,2,FALSE,0,10.691916,87.245245,0,1,0,1
Core,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,2,FALSE,0,26.210483,79.149148,0,1,0,1
Core,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,4,FALSE,0,23.134773,68.076505,0,0,1,1
Core,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,1,FALSE,0,30.661968,16.85032,0,1,0,1
Core,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,4,TRUE,1,13.481816,23.83709,0,0,1,1
Core,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,1,FALSE,0,9.908996,18.471755,0,0,1,1
Core,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,2,TRUE,2,17.78008,13.100232,0,0,1,1
Core,P3,normal,FALSE,0,TRUE,1,FALSE,TRUE,2,FALSE,0,14.61721,12.865416,0,0,1,1
Core,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,4,TRUE,2,16.587173,33.630827,0,0,1,1
Core,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,2,FALSE,0,10.345773,32.368618,1,0,0,1
Core,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,2,FALSE,0,18.018083,17.65372,0,0,1,1
Core,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,1,FALSE,0,28.050083,12.816293,0,0,1,1
Core,P3,normal,TRUE,1,TRUE,1,TRUE,TRUE,4,FALSE,0,12.674175,17.196431,0,0,1,1
Core,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,2,FALSE,0,26.449282,37.353965,0,1,0,1
Core,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,2,FALSE,0,11.643023,12.819483,0,0,1,1
Core,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,1,FALSE,0,15.804699,25.337868,0,0,1,1
Core,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,2,TRUE,2,9.539081,15.901614,0,1,0,1
Core,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,2,TRUE,2,24.331927,19.777671,0,1,0,1
Core,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,2,FALSE,0,26.210483,50.935961,1,0,0,1
Core,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,1,FALSE,0,14.383268,20.114366,0,0,1,1
Core,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,3,TRUE,7,11.053023,15.103578,0,0,1,1
Core,P3,normal,FALSE,0,TRUE,1,FALSE,FALSE,0,FALSE,0,2.83342,24.736718,0,0,1,1
Core,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,1,FALSE,0,13.78026,23.732773,0,0,1,1
Core,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,2,FALSE,0,7.363631,23.004973,0,1,0,1
Core,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,1,FALSE,0,23.992893,18.318892,0,1,0,1
Core,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,1,FALSE,0,14.956927,84.603827,0,0,1,1
Core,P3,normal,FALSE,0,FALSE,0,TRUE,TRUE,4,FALSE,0,41.895683,50.28575,0,0,1,1
Core,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,1,FALSE,0,16.088197,13.559021,0,0,1,1
Core,P3,normal,FALSE,0,FALSE,0,TRUE,TRUE,1,FALSE,0,17.834483,114.65728,0,0,1,1
Core,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,1,FALSE,0,13.373483,9.167841,0,1,0,1
Core,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,4,FALSE,0,15.930559,24.626059,0,0,1,1
Core,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,2,FALSE,0,18.202559,43.504309,0,1,0,1
Core,P3,normal,FALSE,0,TRUE,1,FALSE,TRUE,2,FALSE,0,9.338927,6.39758,0,0,1,1
Core,P3,normal,FALSE,0,TRUE,1,FALSE,TRUE,4,FALSE,0,16.437775,17.516525,0,0,1,1
Core,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,1,FALSE,0,10.866773,20.609387,0,0,1,1
Core,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,3,FALSE,0,8.83094,12.341636,0,0,1,1
Core,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,1,TRUE,1,10.182373,13.515658,0,1,0,1
Core,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,2,FALSE,0,18.802579,10.52062,0,1,0,1
Core,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,1,FALSE,0,5.634653,16.570218,0,0,1,1
Core,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,2,FALSE,0,10.412197,12.244631,0,0,1,1
Core,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,2,FALSE,0,14.556683,43.478084,0,1,0,1
Core,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,3,FALSE,0,14.469173,15.281936,0,1,0,1
Core,P3,normal,FALSE,0,TRUE,1,FALSE,TRUE,2,TRUE,1,20.982083,36.083488,0,0,1,1
Core,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,1,TRUE,1,12.300373,15.208326,0,0,1,1
Core,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,2,FALSE,0,41.016668,40.294926,0,0,1,1
Core,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,1,FALSE,0,9.199773,8.922346,0,0,1,1
Core,P3,normal,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,16.973268,12.093065,0,1,0,1
Core,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,1,FALSE,0,14.116523,10.933309,0,0,1,1
Core,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,1,FALSE,0,26.368325,28.084928,0,0,1,1
Core,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,1,TRUE,1,21.009519,16.830714,0,0,1,1
Core,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,1,FALSE,0,17.218083,13.859129,0,1,0,1
Core,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,2,FALSE,0,23.284868,41.801013,0,0,1,1
Core,P3,normal,FALSE,0,FALSE,0,TRUE,TRUE,6,FALSE,0,9.21944,21.716841,0,1,0,1
Core,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,1,FALSE,0,32.53934,140.102292,0,1,0,1
Core,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,2,FALSE,0,10.41744,91.823217,0,0,1,1
Core,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,1,FALSE,0,8.911059,88.74583,0,0,1,1
Core,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,1,FALSE,0,7.074373,8.751964,0,0,1,1
Core,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,1,FALSE,0,11.250773,9.490902,0,1,0,1
Core,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,4,TRUE,4,15.216846,11.057478,0,0,1,1
Core,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,1,FALSE,0,11.063631,19.452289,1,0,0,1
Core,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,6,FALSE,0,14.903149,26.237019,0,1,0,1
Core,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,3,TRUE,1,19.005468,18.204899,0,1,0,1
Core,P3,normal,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,23.610773,138.475658,1,0,0,1
Core,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,2,FALSE,0,7.607598,61.41834,0,1,0,1
Core,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,1,FALSE,0,14.219896,17.641564,0,0,1,1
Core,P3,minor,FALSE,0,FALSE,0,FALSE,TRUE,3,TRUE,2,26.307283,64.503996,0,1,0,1
Core,P3,enhancement,FALSE,0,FALSE,0,FALSE,TRUE,4,FALSE,0,30.067561,21.174381,0,1,0,1
Core,P3,enhancement,FALSE,0,FALSE,0,FALSE,TRUE,4,FALSE,0,18.45146,22.242325,0,0,1,1
